Species	Functional_branch	Mixed_branch_length	1dS_F1X4_Wm	1dS_F1X4_Wf	1dS_F1X4_Wp	1dS_F1X4_Tp	1dS_F3X4_Wm	1dS_F3X4_Wf	1dS_F3X4_Wp	1dS_F3X4_Tp	1dS_Mean_Tp	2dS_F1X4_Tp	2dS_F3X4_Tp	2dS_Mean_Tp
Bambusicola_thoracicus	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Callipepla_squamata	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Centrocercus_minimus	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Centrocercus_urophasianus	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Chrysolophus_pictus	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Coturnix_japonica	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Gallus_gallus	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Lagopus_leucura	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Lagopus_muta	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Numida_meleagris	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Odontophorus_gujanensis	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Pavo_cristatus	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Pavo_muticus	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Penelope_pileata	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Phasianus_colchicus	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Syrmaticus_mikado	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
Tympanuchus_cupido	Alectura_lathami	68.15	0.90011	0.63239	0.66124	49.6317	0.84056	0.59504	0.62143	41.3181	45.4749	44.4547	35.3528	39.9038
