Group	Species	Functional_branch	Mixed_branch_length	1dS_F1X4_Wm	1dS_F1X4_Wf	1dS_F1X4_Wp	1dS_F1X4_Tp	1dS_F3X4_Wm	1dS_F3X4_Wf	1dS_F3X4_Wp	1dS_F3X4_Tp	1dS_Mean_Tp	2dS_F1X4_Tp	2dS_F3X4_Tp	2dS_Mean_Tp
palaeognathae	Struthio_camelus	Caprimulgus_europaeus	107.58	0.89201	0.63179	0.64888	76.0285	0.84636	0.59448	0.61451	66.821	71.4247	67.5393	57.4867	62.513
palaeognathae	Tinamus_guttatus	Caprimulgus_europaeus	107.58	0.89201	0.63179	0.64888	76.0285	0.84636	0.59448	0.61451	66.821	71.4247	67.5393	57.4867	62.513
palaeognathae	Apteryx_rowi	Caprimulgus_europaeus	107.58	0.89201	0.63179	0.64888	76.0285	0.84636	0.59448	0.61451	66.821	71.4247	67.5393	57.4867	62.513
palaeognathae	Casuarius_casuarius	Caprimulgus_europaeus	107.58	0.89201	0.63179	0.64888	76.0285	0.84636	0.59448	0.61451	66.821	71.4247	67.5393	57.4867	62.513
palaeognathae	Dromaius_novaehollandiae	Caprimulgus_europaeus	107.58	0.89201	0.63179	0.64888	76.0285	0.84636	0.59448	0.61451	66.821	71.4247	67.5393	57.4867	62.513
palaeognathae	Rhea_americana	Caprimulgus_europaeus	107.58	0.89201	0.63179	0.64888	76.0285	0.84636	0.59448	0.61451	66.821	71.4247	67.5393	57.4867	62.513
galliformes	Bambusicola_thoracicus	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Callipepla_squamata	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Centrocercus_minimus	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Centrocercus_urophasianus	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Chrysolophus_pictus	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Coturnix_japonica	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Gallus_gallus	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Lagopus_leucura	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Lagopus_muta	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Numida_meleagris	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Odontophorus_gujanensis	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Pavo_cristatus	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Pavo_muticus	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Phasianus_colchicus	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Syrmaticus_mikado	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Tympanuchus_cupido	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
galliformes	Penelope_pileata	Alectura_lathami	68.15	0.89201	0.63179	0.64888	48.1627	0.84636	0.59448	0.61451	42.3299	45.2463	42.7849	36.4168	39.6009
independent	Gymnogyps_californianus	Aquila_chrysaetos_chrysaetos	60.69	0.89201	0.63179	0.64888	42.8906	0.84636	0.59448	0.61451	37.6963	40.2934	38.1015	32.4305	35.266
independent	Cathartes_aura	Aquila_chrysaetos_chrysaetos	60.69	0.89201	0.63179	0.64888	42.8906	0.84636	0.59448	0.61451	37.6963	40.2934	38.1015	32.4305	35.266
independent	Camarhynchus_parvulus	Zonotrichia_albicollis	24.2	0.89201	0.63179	0.64888	17.1025	0.84636	0.59448	0.61451	15.0313	16.0669	15.1929	12.9316	14.0622
independent	Geospiza_fortis	Zonotrichia_albicollis	24.2	0.89201	0.63179	0.64888	17.1025	0.84636	0.59448	0.61451	15.0313	16.0669	15.1929	12.9316	14.0622
independent	Pterocles_gutturalis	Mesitornis_unicolor	58.35	0.89201	0.63179	0.64888	41.2369	0.84636	0.59448	0.61451	36.2428	38.7399	36.6325	31.18	33.9062
independent	Chlamydotis_macqueenii	Caprimulgus_europaeus	84.2	0.89201	0.63179	0.64888	59.5055	0.84636	0.59448	0.61451	52.299	55.9022	52.8612	44.9933	48.9273
independent	Cuculus_canorus	Caprimulgus_europaeus	84.2	0.89201	0.63179	0.64888	59.5055	0.84636	0.59448	0.61451	52.299	55.9022	52.8612	44.9933	48.9273
