Species        Functional_branch             Mixed_branch_length  1dS_F1X4_Wm  1dS_F1X4_Wf  1dS_F1X4_Wp  1dS_F1X4_Tp  1dS_F3X4_Wm  1dS_F3X4_Wf  1dS_F3X4_Wp  1dS_F3X4_Tp  1dS_Mean_Tp  2dS_F1X4_Tp  2dS_F3X4_Tp  2dS_Mean_Tp
Gallus_gallus  Acanthisitta_chloris          90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Alectura_lathami              68.15                0.83249      0.64697      0.67370      35.8134      0.79550      0.60854      0.63520      32.5482      34.1808      29.7613      26.5941      28.1777
Gallus_gallus  Anas_platyrhynchos            83.37                0.83249      0.64697      0.67370      43.8116      0.79550      0.60854      0.63520      39.8172      41.8144      36.4079      32.5334      34.4706
Gallus_gallus  Anser_cygnoides               83.37                0.83249      0.64697      0.67370      43.8116      0.79550      0.60854      0.63520      39.8172      41.8144      36.4079      32.5334      34.4706
Gallus_gallus  Apaloderma_vittatum           90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Aptenodytes_forsteri          90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Aquila_chrysaetos_chrysaetos  90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Atlantisia_rogersi            90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Aythya_fuligula               83.37                0.83249      0.64697      0.67370      43.8116      0.79550      0.60854      0.63520      39.8172      41.8144      36.4079      32.5334      34.4706
Gallus_gallus  Calidris_pugnax               90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Calypte_anna                  90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Caprimulgus_europaeus         90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Cariama_cristata              90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Chaetura_pelagica             90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Charadrius_vociferus          90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Colius_striatus               90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Columba_livia                 90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Corvus_moneduloides           90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Corythaeola_cristata          90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Egretta_garzetta              90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Erythrura_gouldiae            90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Eurypyga_helias               90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Falco_cherrug                 90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Ficedula_albicollis           90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Fulmarus_glacialis            90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Galbula_dea                   90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Gavia_stellata                90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Lonchura_striata_domestica    90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Malurus_cyaneus_samueli       90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
Gallus_gallus  Manacus_vitellinus            90.84                0.83249      0.64697      0.67370      47.7371      0.79550      0.60854      0.63520      43.3849      45.561       39.67        35.4485      37.5593
