#Batch CD-search tool	
#cdsid	
#datatype	
#status	
#Start time	2024-07-16T10:47:43	Run time	
#status	

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	
Q#1 - >Alligator_sinensis	specific	460211	63	229	1.25367e-23	93.4824	pfam01442	Apolipoprotein	 - 	cl27567	
Q#1 - >Alligator_sinensis	superfamily	460211	63	229	1.25367e-23	93.4824	cl27567	Apolipoprotein superfamily	 - 	 - 	
Q#1 - >Alligator_sinensis	non-specific	460211	129	249	2.06164e-06	46.8732	pfam01442	Apolipoprotein	C	cl27567	
Q#1 - >Alligator_sinensis	non-specific	443941	91	252	0.00779701	37.5873	COG4913	COG4913	NC	cl25907	
Q#1 - >Alligator_sinensis	superfamily	443941	91	252	0.00779701	37.5873	cl25907	COG4913 superfamily	NC	 - 	
Q#2 - >Balaenoptera_musculus	specific	460211	80	254	1.8718e-35	126.224	pfam01442	Apolipoprotein	 - 	cl27567	
Q#2 - >Balaenoptera_musculus	superfamily	460211	80	254	1.8718e-35	126.224	cl27567	Apolipoprotein superfamily	 - 	 - 	
Q#2 - >Balaenoptera_musculus	non-specific	179385	83	288	0.000325186	42.3346	PRK02224	PRK02224	NC	cl32023	
Q#2 - >Balaenoptera_musculus	superfamily	179385	83	288	0.000325186	42.3346	cl32023	PRK02224 superfamily	NC	 - 	
Q#2 - >Balaenoptera_musculus	non-specific	274008	63	303	0.000466224	41.9659	TIGR02168	SMC_prok_B	N	cl37069	
Q#2 - >Balaenoptera_musculus	superfamily	274008	63	303	0.000466224	41.9659	cl37069	SMC_prok_B superfamily	N	 - 	
Q#2 - >Balaenoptera_musculus	non-specific	443941	112	306	0.00521618	38.7429	COG4913	COG4913	NC	cl25907	
Q#2 - >Balaenoptera_musculus	superfamily	443941	112	306	0.00521618	38.7429	cl25907	COG4913 superfamily	NC	 - 	
Q#2 - >Balaenoptera_musculus	non-specific	440809	92	279	0.00706079	37.994	COG1196	Smc	C	cl34174	
Q#2 - >Balaenoptera_musculus	superfamily	440809	92	279	0.00706079	37.994	cl34174	Smc superfamily	C	 - 	
Q#3 - >Betta_splendens	specific	460211	68	242	1.92382e-32	117.365	pfam01442	Apolipoprotein	 - 	cl27567	
Q#3 - >Betta_splendens	superfamily	460211	68	242	1.92382e-32	117.365	cl27567	Apolipoprotein superfamily	 - 	 - 	
Q#3 - >Betta_splendens	non-specific	460211	121	278	8.56588e-17	76.1484	pfam01442	Apolipoprotein	 - 	cl27567	
Q#3 - >Betta_splendens	non-specific	460211	158	276	3.70176e-06	46.1028	pfam01442	Apolipoprotein	C	cl27567	
Q#3 - >Betta_splendens	non-specific	460211	200	278	0.00117518	38.7841	pfam01442	Apolipoprotein	C	cl27567	
Q#3 - >Betta_splendens	non-specific	236892	108	253	0.00280917	39.1245	PRK11281	PRK11281	C	cl46976	
Q#3 - >Betta_splendens	superfamily	481316	108	253	0.00280917	39.1245	cl46976	PRK11281 superfamily	C	 - 	
