family	Subfamily	chr	start	end	strand	percent_divergence	GA_edit_count
ERVL	TguLTR5d	NW_009646215.1	6532	6651	+	23.000	0
ERVL	TguLTR5e	NW_009646216.1	2491	2627	C	21.200	0
ERVL	TguLTR5d	NW_009646216.1	18183	18314	+	25.800	0
ERVL	TguLTR5d	NW_009646216.1	24308	24444	+	25.600	0
ERVL	TguLTR5e	NW_009646216.1	24650	24757	+	24.500	0
ERVL	TguLTR5d	NW_009646218.1	3311	3445	+	19.300	0
ERVL	TguLTR5d	NW_009646220.1	52374	52539	+	20.400	0
ERVL	TguLTR5e	NW_009646224.1	2690	2775	C	21.100	0
ERVL	TguLTR5e	NW_009646224.1	5234	5819	C	21.600	0
ERVL	TguLTR5e	NW_009646224.1	5963	6046	+	23.200	0
ERVL	TguLTR5d	NW_009646225.1	99214	99287	C	24.300	0
ERVL	TguLTR5d	NW_009646225.1	121658	121768	C	22.200	0
ERVL	TguLTR5d	NW_009646225.1	188934	189048	C	20.900	0
ERVL	TguLTR5d	NW_009646225.1	189174	189263	C	12.200	0
ERVL	TguLTR5e	NW_009646225.1	381917	382039	+	21.300	0
ERVL	TguLTR5e	NW_009646225.1	436129	436216	C	19.500	0
ERVL	TguLTR5e	NW_009646226.1	5240	5360	C	27.900	0
ERVL	TguLTR5d	NW_009646226.1	12600	12732	C	21.200	0
ERVL	TguLTR5d	NW_009646231.1	120	240	C	22.000	0
ERVL	TguLTR5e	NW_009646233.1	15297	15375	+	19.000	0
ERVL	TguLTR5d	NW_009646233.1	39862	39949	+	23.900	0
ERVL	TguLTR5d	NW_009646233.1	40068	40191	+	22.600	0
ERVL	TguLTR5e	NW_009646233.1	83020	83110	C	17.800	0
ERVL	TguLTR5e	NW_009646233.1	185331	185448	C	23.700	0
ERVL	TguLTR5d	NW_009646238.1	9135	9615	+	16.800	0
ERVL	TguLTR5e	NW_009646238.1	14665	14762	+	21.600	0
ERVL	TguLTR5e	NW_009646238.1	15060	15400	+	17.900	0
ERVL	TguLTR5d	NW_009646238.1	15416	15832	+	22.300	0
ERVL	TguLTR5e	NW_009646238.1	19196	19286	+	17.800	0
ERVL	TguLTR5e	NW_009646240.1	23245	23318	+	13.700	0
ERVL	TguLTR5d	NW_009646242.1	18491	18758	C	17.700	0
ERVL	TguLTR5d	NW_009646242.1	18759	18939	C	18.400	0
ERVL	TguLTR5e	NW_009646242.1	25174	25242	C	21.700	0
ERVL	TguLTR5e	NW_009646242.1	25243	25423	C	18.400	0
ERVL	TguLTR5d	NW_009646242.1	32710	32798	C	20.200	0
ERVL	TguLTR5d	NW_009646244.1	9003	9134	C	29.600	0
ERVL	TguLTR5d	NW_009646244.1	14986	15248	+	21.800	0
ERVL	TguLTR5e	NW_009646244.1	32711	33013	+	14.800	0
ERVL	TguLTR5e	NW_009646244.1	37190	37309	C	21.800	0
ERVL	TguLTR5d	NW_009646244.1	55131	55263	+	23.800	0
ERVL	TguLTR5d	NW_009646248.1	9770	9901	C	24.100	0
ERVL	TguLTR5e	NW_009646248.1	16569	16662	C	19.600	0
ERVL	TguLTR5e	NW_009646248.1	30857	30966	C	23.100	0
ERVL	TguLTR5d	NW_009646256.1	2952	3109	C	22.000	0
ERVL	TguLTR5e	NW_009646257.1	148	244	C	27.300	0
ERVL	TguLTR5d	NW_009646257.1	3338	3474	+	18.600	0
ERVL	TguLTR5e	NW_009646263.1	2430	2549	+	25.400	0
ERVL	TguLTR5e	NW_009646263.1	5533	5653	C	23.300	0
ERVL	TguLTR5d	NW_009646268.1	4526	4611	C	20.000	0
ERVL	TguLTR5e	NW_009646271.1	558	634	C	15.600	0
ERVL	TguLTR5e	NW_009646271.1	769	1062	C	16.700	0
ERVL	TguLTR5e	NW_009646271.1	9285	9497	+	19.200	0
ERVL	TguLTR5e	NW_009646271.1	15164	15274	+	30.200	0
ERVL	TguLTR5e	NW_009646271.1	19256	19387	+	20.900	0
ERVL	TguLTR5e	NW_009646271.1	26128	26189	C	11.300	0
ERVL	TguLTR5e	NW_009646271.1	32831	32953	+	25.800	0
ERVL	TguLTR5d	NW_009646273.1	15470	15560	C	17.800	0
ERVL	TguLTR5d	NW_009646276.1	1656	1791	+	22.800	0
ERVL	TguLTR5d	NW_009646276.1	8453	8584	C	27.300	0
ERVL	TguLTR5d	NW_009646285.1	18414	18581	+	25.800	0
ERVL	TguLTR5d	NW_009646285.1	19472	19595	+	22.900	0
ERVL	TguLTR5d	NW_009646287.1	12134	12265	+	25.200	0
ERVL	TguLTR5d	NW_009646290.1	30	86	+	19.600	0
ERVL	TguLTR5d	NW_009646290.1	5481	5789	+	12.100	0
ERVL	TguLTR5d	NW_009646290.1	5795	6238	+	16.800	0
ERVL	TguLTR5d	NW_009646290.1	6766	6897	+	27.300	0
ERVL	TguLTR5d	NW_009646290.1	12768	12899	+	27.300	0
ERVL	TguLTR5e	NW_009646290.1	18524	19086	+	23.000	0
ERVL	TguLTR5d	NW_009646290.1	19860	20375	+	28.000	0
ERVL	TguLTR5e	NW_009646307.1	3951	4072	C	22.500	0
ERVL	TguLTR5d	NW_009646307.1	4573	4659	+	18.600	0
