#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1A1E72DAFF6DB8BC-2DB551FFA7EC6267
#datatype	hitsFull Results
#status	0
#Start time	2025-02-24T22:46:58	Run time	0:00:00:33
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#1 - >aid_mammals_NM_020661.4	specific	465865	5	180	6.47747e-90	261.059	pfam18778	NAD1	 - 	cl40077	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#1 - >aid_mammals_NM_020661.4	superfamily	465865	5	180	6.47747e-90	261.059	cl40077	NAD1 superfamily	 - 	 - 	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#1 - >aid_mammals_NM_020661.4	non-specific	465863	6	180	6.42512e-87	253.291	pfam18772	APOBEC2	 - 	cl40073	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#1 - >aid_mammals_NM_020661.4	superfamily	465863	6	180	6.42512e-87	253.291	cl40073	APOBEC2 superfamily	 - 	 - 	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#1 - >aid_mammals_NM_020661.4	non-specific	462396	11	178	3.41715e-81	238.804	pfam08210	APOBEC_N	 - 	cl38258	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#1 - >aid_mammals_NM_020661.4	superfamily	462396	11	178	3.41715e-81	238.804	cl38258	APOBEC_N superfamily	 - 	 - 	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#1 - >aid_mammals_NM_020661.4	non-specific	436733	5	180	1.45556e-67	204.522	pfam18782	NAD2	 - 	cl40079	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#1 - >aid_mammals_NM_020661.4	superfamily	436733	5	180	1.45556e-67	204.522	cl40079	NAD2 superfamily	 - 	 - 	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#1 - >aid_mammals_NM_020661.4	non-specific	465854	31	150	1.37951e-52	164.356	pfam18750	SNAD4	 - 	cl39020	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
Q#1 - >aid_mammals_NM_020661.4	superfamily	465854	31	150	1.37951e-52	164.356	cl39020	SNAD4 superfamily	 - 	 - 	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
