family	Subfamily	chr	start	end	strand	percent_divergence	GA_edit_count
ERVL	DR0012961	MCFN01000001.1	7132	7335	C	29.6	0
ERVL	DR0012935	MCFN01000001.1	10617	11131	C	24.0	0
ERVL	DR0012897	MCFN01000001.1	24749	25444	C	15.4	0
ERVL	DR0012974	MCFN01000001.1	36125	36279	+	20.0	0
ERVL	DR0012827	MCFN01000001.1	53777	54338	C	7.4	0
ERVL	DR0012932	MCFN01000001.1	125809	125952	+	11.9	0
ERVK	DR0012960	MCFN01000001.1	126000	126292	C	8.0	0
ERV1	DR0012879	MCFN01000001.1	126260	126406	+	6.1	0
ERV1	DR0012914	MCFN01000001.1	144162	144641	C	16.6	0
ERVL	DR0012920	MCFN01000001.1	185421	185663	+	25.3	0
ERVL	DR0012936	MCFN01000001.1	186176	186457	+	13.4	0
ERVL	DR0012970	MCFN01000001.1	217177	217508	+	14.2	0
ERVL	DR0012935	MCFN01000001.1	247789	248271	C	21.5	0
ERVL	DR0012929	MCFN01000001.1	253115	253658	+	21.9	0
ERVL	DR0012929	MCFN01000001.1	275629	275722	+	11.8	0
ERVL	DR0012929	MCFN01000001.1	275740	276061	+	16.6	0
ERV1	DR0012922	MCFN01000001.1	290940	291372	C	18.8	0
ERVL	DR0012897	MCFN01000001.1	313345	313770	C	10.7	0
ERVL	DR0012848	MCFN01000001.1	345009	345127	C	6.7	0
ERVL	DR0012935	MCFN01000001.1	374384	374943	C	19.1	0
ERVL	DR0012958	MCFN01000001.1	381681	382651	+	21.8	0
ERVL	DR0012809	MCFN01000001.1	389364	389427	+	21.9	0
ERVL	DR0012935	MCFN01000001.1	390053	390572	C	19.0	0
ERVL	DR0012935	MCFN01000001.1	438905	439414	+	21.4	0
ERVL	DR0012942	MCFN01000001.1	464008	464067	+	21.7	0
ERVL	DR0012974	MCFN01000001.1	476889	477462	+	17.2	0
ERVL	DR0012920	MCFN01000001.1	611599	611879	+	14.5	0
ERVL	DR0012958	MCFN01000001.1	817639	818050	+	14.9	0
ERVL	DR0012935	MCFN01000001.1	892064	892616	+	29.5	0
ERV1	DR0012857	MCFN01000001.1	907449	907487	+	5.1	0
ERVL	DR0012935	MCFN01000001.1	931308	931867	C	17.0	0
ERVL	DR0012961	MCFN01000001.1	945898	946105	C	29.6	0
ERVL	DR0012932	MCFN01000001.1	983534	984265	+	5.9	0
ERVL	DR0012935	MCFN01000001.1	1019382	1019445	+	20.3	0
ERVL	DR0012929	MCFN01000001.1	1051130	1051669	+	15.0	0
ERVL	DR0012891	MCFN01000001.1	1052403	1052979	+	13.2	0
ERVL	DR0012929	MCFN01000001.1	1061116	1061358	+	15.1	0
ERVL	DR0012932	MCFN01000001.1	1145637	1146380	+	4.2	0
ERVL	DR0012809	MCFN01000001.1	1180817	1181115	+	17.5	0
ERVL	DR0012936	MCFN01000001.1	1184932	1185392	C	22.3	0
ERVL	DR0012920	MCFN01000001.1	1189109	1189381	C	16.2	0
ERVL	DR0012936	MCFN01000001.1	1194419	1194972	C	19.8	0
ERVL	DR0012929	MCFN01000001.1	1213753	1214037	C	15.7	0
ERVL	DR0012848	MCFN01000001.1	1214193	1214901	+	17.3	0
ERVL	DR0012936	MCFN01000001.1	1214902	1215159	C	14.9	0
ERVL	DR0012954	MCFN01000001.1	1217833	1218399	C	3.2	0
ERVL	DR0012848	MCFN01000001.1	1222149	1222244	+	15.6	0
ERVL	DR0012974	MCFN01000001.1	1231779	1232154	+	30.5	0
ERV1	DR0012931	MCFN01000001.1	1237136	1237264	C	32.5	0
ERVL	DR0012848	MCFN01000001.1	1248962	1249912	+	5.1	0
ERVL	DR0012974	MCFN01000001.1	1288053	1288614	+	23.0	0
ERVL	DR0012929	MCFN01000001.1	1330741	1331082	C	13.4	0
ERVL	DR0012961	MCFN01000001.1	1333113	1333753	C	28.3	0
ERVL	DR0012823	MCFN01000001.1	1339942	1340417	+	10.0	0
ERVL	DR0012929	MCFN01000001.1	1363746	1363814	+	23.5	0
ERVL	DR0012929	MCFN01000001.1	1385838	1386385	+	16.4	0
ERVL	DR0012891	MCFN01000001.1	1387708	1388274	C	6.9	0
ERVL	DR0012961	MCFN01000001.1	1401283	1401936	C	26.4	0
ERVL	DR0012932	MCFN01000001.1	1403166	1403903	+	4.3	0
ERVL	DR0012961	MCFN01000001.1	1444197	1444451	+	25.5	0
ERVL	DR0012942	MCFN01000001.1	1493646	1493991	+	14.5	0
ERVL	DR0012974	MCFN01000001.1	1600139	1600703	+	20.9	0
ERVL	DR0012936	MCFN01000001.1	1606172	1606261	C	17.8	0
ERVL	DR0012981	MCFN01000001.1	1611281	1611605	+	36.3	0
ERVL	DR0012961	MCFN01000001.1	1611739	1611808	C	27.5	0
