family	Subfamily	chr	start	end	strand	percent_divergence	GA_edit_count
ERVL	TguLTR5d	NW_009185586.1	4753	4904	C	11.900	0
ERVL	TguLTR5d	NW_009185586.1	5024	5271	C	21.800	0
ERVL	TguLTR5d	NW_009185587.1	19113	19686	+	10.300	0
ERVL	TguLTR5d	NW_009185590.1	1119	1257	+	22.900	0
ERVL	TguLTR5d	NW_009185590.1	1280	1359	+	22.900	0
ERVL	TguLTR5d	NW_009185590.1	1495	1633	+	9.900	0
ERVL	TguLTR5d	NW_009185595.1	37	146	C	14.800	0
ERVL	TguLTR5d	NW_009185595.1	354	929	C	13.700	0
ERVL	TguLTR5d	NW_009185595.1	6704	7304	+	9.100	0
ERVL	TguLTR5d	NW_009185596.1	3718	4317	C	22.500	0
ERVL	TguLTR5d	NW_009185596.1	20996	21131	C	16.000	0
ERVL	TguLTR5d	NW_009185596.1	21257	21540	C	19.700	0
ERVL	TguLTR5d	NW_009185598.1	8105	8242	C	9.900	0
ERVL	TguLTR5d	NW_009185598.1	8372	8547	C	19.700	0
ERVL	TguLTR5e	NW_009185598.1	19637	19755	C	22.000	0
ERVL	TguLTR5d	NW_009185599.1	22990	23141	+	17.800	0
ERVL	TguLTR5d	NW_009185599.1	29307	29884	C	8.000	0
ERVL	TguLTR5d	NW_009185600.1	9192	9724	+	19.300	0
ERVL	TguLTR5d	NW_009185600.1	33015	33154	C	11.700	0
ERVL	TguLTR5d	NW_009185600.1	33285	33530	C	19.000	0
ERVL	TguLTR5e	NW_009185600.1	62420	62529	C	23.800	0
ERVL	TguLTR5d	NW_009185601.1	17050	17522	C	23.600	0
ERVL	TguLTR5d	NW_009185601.1	18776	19377	+	15.500	0
ERVL	TguLTR5e	NW_009185604.1	5270	5389	C	28.800	0
ERVL	TguLTR5e	NW_009185604.1	5412	5461	C	10.000	0
ERVL	TguLTR5d	NW_009185604.1	7167	7414	+	18.900	0
ERVL	TguLTR5d	NW_009185604.1	7545	7682	+	9.200	0
ERVL	TguLTR5d	NW_009185604.1	12167	12701	+	14.100	0
ERVL	TguLTR5d	NW_009185604.1	18229	18476	+	20.100	0
ERVL	TguLTR5d	NW_009185604.1	18607	18745	+	12.200	0
ERVL	TguLTR5d	NW_009185604.1	29444	30029	+	8.200	0
ERVL	TguLTR5d	NW_009185604.1	34343	34937	C	9.800	0
ERVL	TguLTR5d	NW_009185604.1	35984	36064	C	16.700	0
ERVL	TguLTR5d	NW_009185605.1	3751	3823	+	16.900	0
ERVL	TguLTR5d	NW_009185605.1	7438	7546	C	18.500	0
ERVL	TguLTR5d	NW_009185605.1	7687	7912	C	21.900	0
ERVL	TguLTR5e	NW_009185607.1	1417	1532	+	24.300	0
ERVL	TguLTR5d	NW_009185607.1	2632	2879	+	19.300	0
ERVL	TguLTR5d	NW_009185607.1	3010	3144	+	10.900	0
ERVL	TguLTR5d	NW_009185607.1	10826	11399	+	15.000	0
ERVL	TguLTR5d	NW_009185607.1	19832	19949	C	14.000	0
ERVL	TguLTR5d	NW_009185607.1	20081	20350	C	19.700	0
ERVL	TguLTR5e	NW_009185608.1	10304	10420	+	27.600	0
ERVL	TguLTR5d	NW_009185608.1	36776	36908	C	19.600	0
ERVL	TguLTR5d	NW_009185608.1	36974	37276	C	13.700	0
ERVL	TguLTR5d	NW_009185611.1	4292	4899	+	5.900	0
ERVL	TguLTR5d	NW_009185615.1	15059	15204	C	13.100	0
ERVL	TguLTR5d	NW_009185615.1	15406	15707	C	22.800	0
ERVL	TguLTR5d	NW_009185615.1	21996	22520	C	18.200	0
ERVL	TguLTR5e	NW_009185617.1	24572	25161	+	19.300	0
ERVL	TguLTR5d	NW_009185620.1	11460	12052	+	7.800	0
ERVL	TguLTR5d	NW_009185621.1	19935	20045	C	14.500	0
ERVL	TguLTR5d	NW_009185621.1	20175	20411	C	20.500	0
ERVL	TguLTR5d	NW_009185621.1	29078	29316	+	15.700	0
ERVL	TguLTR5d	NW_009185621.1	29453	29590	+	16.100	0
ERVL	TguLTR5d	NW_009185621.1	29612	29847	+	18.900	0
ERVL	TguLTR5d	NW_009185621.1	32738	32872	C	16.700	0
ERVL	TguLTR5d	NW_009185621.1	33002	33096	C	18.900	0
ERVL	TguLTR5e	NW_009185621.1	72899	73487	+	18.500	0
ERVL	TguLTR5e	NW_009185621.1	74837	74956	+	22.900	0
ERVL	TguLTR5d	NW_009185621.1	93593	93922	+	8.200	0
ERVL	TguLTR5d	NW_009185626.1	21230	21800	+	24.200	0
ERVL	TguLTR5e	NW_009185630.1	5704	5822	C	24.100	0
ERVL	TguLTR5d	NW_009185630.1	19306	19865	C	13.400	0
ERVL	TguLTR5d	NW_009185630.1	42841	43436	C	8.100	0
ERVL	TguLTR5d	NW_009185632.1	46366	46925	+	51.800	0
ERVL	TguLTR5d	NW_009185633.1	101474	102019	C	6.600	0
ERVL	TguLTR5d	NW_009185633.1	113113	113260	C	22.500	0
ERVL	TguLTR5d	NW_009185633.1	113309	113709	C	19.600	0
ERVL	TguLTR5d	NW_009185633.1	124319	124911	C	46.700	0
ERVL	TguLTR5d	NW_009185637.1	15564	16159	C	20.200	0
ERVL	TguLTR5d	NW_009185637.1	57389	57970	+	8.300	0
ERVL	TguLTR5d	NW_009185637.1	65708	65826	C	17.400	0
ERVL	TguLTR5d	NW_009185637.1	65964	66181	C	27.900	0
ERVL	TguLTR5d	NW_009185641.1	2811	3388	+	19.500	0
ERVL	TguLTR5e	NW_009185641.1	10252	10800	+	18.700	0
ERVL	TguLTR5d	NW_009185643.1	2578	3161	+	12.300	0
ERVL	TguLTR5d	NW_009185643.1	4260	4507	+	19.700	0
ERVL	TguLTR5d	NW_009185643.1	4623	4758	+	31.300	0
ERVL	TguLTR5e	NW_009185643.1	5724	6321	+	21.500	0
ERVL	TguLTR5e	NW_009185643.1	11123	11241	C	27.300	0
